WeatherPy_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
0,Hovd,48.0056,91.6419,48.02,31,0,1.66,Clear,MN,2022-05-13 19:14:51
1,Kapaa,22.0752,-159.319,79.12,78,40,13.8,Clouds,US,2022-05-13 19:14:52
2,Birigui,-21.2886,-50.34,85.33,33,0,1.68,Clear,BR,2022-05-13 19:14:52
3,Jamestown,42.097,-79.2353,80.06,51,20,8.05,Clouds,US,2022-05-13 19:11:14
4,Jibuti,11.5,42.5,85.77,41,5,8.97,Clear,DJ,2022-05-13 19:14:52
5,Ushuaia,-54.8,-68.3,44.22,100,75,2.3,Clouds,AR,2022-05-13 19:14:53
6,Hobart,-42.8794,147.3294,53.28,90,100,3.44,Clouds,AU,2022-05-13 19:10:10
7,Atuona,-9.8,-139.0333,78.12,70,68,20.11,Clouds,PF,2022-05-13 19:14:53
8,Port Augusta,-32.5,137.7667,66.69,49,100,17.52,Clouds,AU,2022-05-13 19:14:54
9,Avarua,-21.2078,-159.775,80.65,89,100,10.36,Clouds,CK,2022-05-13 19:13:13
10,Mgandu,-5.95,34.1333,66.99,71,100,6.49,Clouds,TZ,2022-05-13 19:14:54
11,Banda Aceh,5.5577,95.3222,81.41,81,100,7.81,Clouds,ID,2022-05-13 19:14:54
12,Albany,42.6001,-73.9662,84.63,54,47,1.01,Clouds,US,2022-05-13 19:14:46
13,Puerto Ayora,-0.7393,-90.3518,82.36,88,89,5.01,Clouds,EC,2022-05-13 19:12:10
14,Pacific Grove,36.6177,-121.9166,74.88,56,0,11.01,Clear,US,2022-05-13 19:14:55
15,Palmas,-10.2128,-48.3603,91.27,49,20,6.91,Clouds,BR,2022-05-13 19:14:55
16,Tuktoyaktuk,69.4541,-133.0374,32.0,93,100,14.97,Rain,CA,2022-05-13 19:14:55
17,Bull Savanna,17.8868,-77.5902,77.74,73,100,19.44,Clouds,JM,2022-05-13 19:14:56
18,Mataura,-46.1927,168.8643,52.48,98,100,3.78,Rain,NZ,2022-05-13 19:12:31
19,Rikitea,-23.1203,-134.9692,77.81,71,99,20.6,Clouds,PF,2022-05-13 19:14:56
20,Thompson,55.7435,-97.8558,44.76,53,100,21.85,Clouds,CA,2022-05-13 19:14:56
21,Tramore,52.1624,-7.1524,58.73,75,0,9.22,Clear,IE,2022-05-13 19:14:57
22,Brownfield,33.1812,-102.2744,91.94,5,0,5.88,Clear,US,2022-05-13 19:14:57
23,Buribay,51.9617,58.1592,51.78,95,100,12.59,Clouds,RU,2022-05-13 19:14:58
24,Kaitangata,-46.2817,169.8464,49.95,93,100,8.03,Rain,NZ,2022-05-13 19:14:58
25,Saldanha,-33.0117,17.9442,59.56,67,88,6.53,Clouds,ZA,2022-05-13 19:14:58
26,Bluff,-46.6,168.3333,52.81,93,100,14.03,Rain,NZ,2022-05-13 19:14:59
27,Abu Samrah,35.3029,37.1841,73.98,30,55,0.98,Clouds,SY,2022-05-13 19:14:59
28,Novoagansk,61.9449,76.6625,52.2,74,100,7.18,Clouds,RU,2022-05-13 19:14:59
29,Carnarvon,-24.8667,113.6333,65.91,61,0,20.8,Clear,AU,2022-05-13 19:15:00
30,Khani,41.9563,42.9566,49.57,60,0,5.61,Clear,GE,2022-05-13 19:15:00
31,Umm Lajj,25.0213,37.2685,84.15,58,0,6.26,Clear,SA,2022-05-13 19:15:00
32,Waitara,-38.925,174.25,59.49,76,100,13.96,Rain,NZ,2022-05-13 19:15:01
33,Saint-Philippe,-21.3585,55.7679,69.39,67,2,5.59,Clear,RE,2022-05-13 19:15:01
34,Port Alfred,-33.5906,26.891,59.18,87,34,3.0,Clouds,ZA,2022-05-13 19:12:08
35,Naze,28.3667,129.4833,70.72,95,100,7.78,Clouds,JP,2022-05-13 19:15:01
36,Cape Town,-33.9258,18.4232,60.89,86,75,5.75,Clouds,ZA,2022-05-13 19:15:02
37,Bundaberg,-24.85,152.35,69.22,99,75,4.61,Clouds,AU,2022-05-13 19:15:02
38,Arraial Do Cabo,-22.9661,-42.0278,76.86,65,40,6.91,Clouds,BR,2022-05-13 19:15:02
39,Hermanus,-34.4187,19.2345,57.79,74,100,10.36,Clouds,ZA,2022-05-13 19:15:03
40,Schladming,47.3929,13.687,57.54,100,20,4.7,Clouds,AT,2022-05-13 19:15:03
41,Abha,18.2164,42.5053,73.65,12,0,9.22,Clear,SA,2022-05-13 19:15:04
42,Guane,22.2025,-84.0875,87.3,41,20,3.15,Clouds,CU,2022-05-13 19:15:04
43,Geraldton,-28.7667,114.6,59.41,88,100,4.61,Clouds,AU,2022-05-13 19:15:04
44,Altay,47.8667,88.1167,54.7,34,0,8.66,Clear,CN,2022-05-13 19:15:05
45,Ribeira Grande,38.5167,-28.7,61.2,77,75,5.75,Clouds,PT,2022-05-13 19:15:05
46,Makushino,55.2103,67.2442,50.99,80,100,9.26,Clouds,RU,2022-05-13 19:16:05
47,Vaini,-21.2,-175.2,71.76,73,20,12.66,Clouds,TO,2022-05-13 19:16:06
48,Salalah,17.0151,54.0924,86.09,66,0,5.75,Clear,OM,2022-05-13 19:12:58
49,Ust-Ilimsk,58.0006,102.6619,47.39,52,79,2.35,Clouds,RU,2022-05-13 19:16:06
50,Creel,27.75,-107.6333,79.92,6,0,12.62,Clear,MX,2022-05-13 19:16:07
51,Colquechaca,-18.6667,-66.0167,47.73,17,2,16.96,Clear,BO,2022-05-13 19:16:07
52,Drezdenko,52.8383,15.8308,53.33,80,58,7.27,Clouds,PL,2022-05-13 19:16:07
53,Basco,20.4487,121.9702,83.5,78,91,11.95,Clouds,PH,2022-05-13 19:15:32
