City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Kapaa,US,79.12,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
2,Birigui,BR,85.33,Clear,-21.2886,-50.34,Birigui Palace Hotel
3,Jamestown,US,80.06,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
4,Jibuti,DJ,85.77,Clear,11.5,42.5,Orchid Main Camp Goubet
7,Atuona,PF,78.12,Clouds,-9.8,-139.0333,Villa Enata
9,Avarua,CK,80.65,Clouds,-21.2078,-159.775,Paradise Inn
11,Banda Aceh,ID,81.41,Clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
12,Albany,US,84.63,Clouds,42.6001,-73.9662,
13,Puerto Ayora,EC,82.36,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Bull Savanna,JM,77.74,Clouds,17.8868,-77.5902,Big Red's
19,Rikitea,PF,77.81,Clouds,-23.1203,-134.9692,People ThankYou
31,Umm Lajj,SA,84.15,Clear,25.0213,37.2685,Moon light Furnished Units
38,Arraial Do Cabo,BR,76.86,Clouds,-22.9661,-42.0278,Pousada Porto Praia
42,Guane,CU,87.3,Clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
48,Salalah,OM,86.09,Clear,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
50,Creel,MX,79.92,Clear,27.75,-107.6333,The Lodge at Creel Hotel & SPA
53,Basco,PH,83.5,Clouds,20.4487,121.9702,Nathaniel's Lodge
55,Pyay,MM,82.76,Clear,18.8167,95.2167,Shwe Pyi Thar
58,Pittsfield,US,83.98,Clouds,42.4501,-73.2454,"Holiday Inn & Suites Pittsfield-Berkshires, an IHG Hotel"
59,Labuan,MY,79.16,Clouds,5.2767,115.2417,Tiara Labuan Hotel
64,Saint George,US,80.44,Clear,37.1041,-113.5841,Best Western Plus Abbey Inn
67,Maceio,BR,78.24,Clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
69,Hilo,US,82.27,Clear,19.7297,-155.09,Hilo Hawaiian Hotel
